Material,SMILES,Type,PL
BTD73,C12=NSN=C1C(C3=CC=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C3)=CC=C2C7=CC=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)C=C7,BTD,550.0
BTD74,C12=NSN=C1C(C3=CC=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C3)=CC=C2C7=CC=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)C=C7,BTD,657.0
BTD75,C12=NSN=C1C(C3=CC=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)S3)=CC=C2C7=CC=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)S7,BTD,661.0
BTD76,C12=NSN=C1C(C3=CC=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)S3)=CC=C2C7=CC=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)S7,BTD,689.0
BTD77,C12=NSN=C1C(/C=C/C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=CC=C2/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6,BTD,661.0
BTD78,C12=NSN=C1C(/C=C/C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=CC=C2/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6,BTD,689.0
BTD79,C12=NSN=C1C(C#CC3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=CC=C2C#CC6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6,BTD,568.0
BTD80,C12=NSN=C1C(C#CC3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=CC=C2C#CC6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6,BTD,663.0
BTD81,C12=NSN=C1C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6)C=C3)=CC=C2C7=CC=C(/C(C8=CC=CC=C8)=C(C9=CC=CC=C9)/C%10=CC=CC=C%10)C=C7,BTD,538.0
BTD82,C12=NSN=C1C(C3=CC=C(C4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7)C=C4)S3)=CC=C2C8=CC=C(S8)C(C=C9)=CC=C9/C(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)\C%12=CC=CC=C%12,BTD,623.0
BODIPY1,F[B-]([N+]1=C(C)C(C2=CC=C(CCCCCC)S2)=C(C)C1=C3C)(F)N4C3=C(C)C(C5=CC=C(CCCCCC)S5)=C4C,BODIPY,605.0
BODIPY2,F[B-]([N+]1=C(C)C(CC)=C(C)C1=C2C3=CC=CC=C3)(F)N4C2=C(C)C(CC)=C4C,BODIPY,534.0
BODIPY3,F[B-]([N+]1=C(C)C(CC)=C(C)C1=C2C3=C(C=CC=C4)C4=CC=C3)(F)N5C2=C(C)C(CC)=C5C,BODIPY,544.0
BODIPY4,F[B-](F)(N1C2=C(C(CC)=C1C)C)[N+]3=C(C(CC)=C(C3=C2C4=C5C=CC=CC5=CC6=C4C=CC=C6)C)C,BODIPY,543.0
BODIPY5,F[B-]([N+]1=C(C)C(CC)=C(C)C1=C2C3=C(C=CC4=C5C(C=C6)=CC=C4)C5=C6C=C3)(F)N7C2=C(C)C(CC)=C7C,BODIPY,543.0
BODIPY6,F[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC(C4=CC=C(C(C)(C)C)C=C4)=CC(C5=CC=C(C(C)(C)C)C=C5)=C3)(F)N6C2=C(C)C=C6C,BODIPY,502.0
BODIPY7,F[B-]([N+]1=C(C)C(C2=CC=CC=C2)=C(C)C1=C3CC4=CC=CC=C4)(F)N5C3=C(C)C(C6=CC=CC=C6)=C5C,BODIPY,558.0
BODIPY8,F[B-]([N+]1=C(C)C(C2=CC=CC=C2)=C(C)C1=C3CC4=C(F)C=C(F)C=C4F)(F)N5C3=C(C)C(C6=CC=CC=C6)=C5C,BODIPY,519.0
BODIPY9,F[B-]([N+]1=C(C)C(C2=CC=C(C#N)C=C2)=C(C)C1=C3CC4=CC=CC=C4)(F)N5C3=C(C)C(C6=CC=C(C#N)C=C6)=C5C,BODIPY,555.0
BODIPY10,F[B-]([N+]1=C(C)C=C(C)C1=C2CC3=CC=CC=C3)(F)N4C2=C(C)C=C4C,BODIPY,515.0
BODIPY11,F[B-]([N+]1=C(C)C(C#CC2=CC=CC=C2)=C(C)C1=C3C4=CC=CC=C4)(F)N5C3=C(C)C(C#CC6=CC=CC=C6)=C5C,BODIPY,594.0
BODIPY12,F[B-]([N+]1=C(C)C(C#CC2=CC(C(C=CC=C3)=C3N4CC)=C4C=C2)=C(C)C1=C5C6=CC=CC=C6)(F)N7C5=C(C)C(C#CC8=CC=C(N(CC)C9=C%10C=CC=C9)C%10=C8)=C7C,BODIPY,653.0
BODIPY13,F[B-]([N+]1=C(C)C(C#CC2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C)C1=C5C6=CC=CC=C6)(F)N7C5=C(C)C(C#CC8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)=C7C,BODIPY,659.0
BODIPY14,F[B-]([N+]1=C(C)C(C2=CC=CS2)=C(C)C1=C3C4=CC=CC=C4)(F)N5C3=C(C)C(C6=CC=CS6)=C5C,BODIPY,609.0
